"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent"
"IBM Corp","3571","2017-07-11","","Manufacture computer products","United States","SEGMINT INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3127126045,"United States","Americas"
"Hewlett Packard Enterprise Co","3571","2017-07-25","","Manufactures electronic computers","United States","HEWLETT PACKARD ENTERPRISE CO/CYBERINC-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,3132463045,"United States","Americas"
"Cyberinc Corp","7372","2017-07-25","","Develops cybersecurity software","United States","HEWLETT PACKARD ENTERPRISE CO/CYBERINC-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,3132463045,"United States","Americas"
"Hewlett Packard Enterprise Co","3571","2017-07-25","","Manufactures electronic computers","United States","HEWLETT PACKARD ENTERPRISE CO/WIPRO LTD-STRATEGIC ALLIANCE","7371","Supranational","Completed/Signed","Strategic Alliance",NA,3131916045,"United States","Americas"
"Wipro Ltd","7371","2017-07-25","","Provide information technology services","India","HEWLETT PACKARD ENTERPRISE CO/WIPRO LTD-STRATEGIC ALLIANCE","7371","Supranational","Completed/Signed","Strategic Alliance",NA,3131916045,"India","Asia"
"Dreamgear LLC","3571","2017-08-16","","Electronic Computer Manufacturing","United States","DREAMGEAR LLC/DIGITAL AUDIO DISK CORP-STRATEGIC ALLIANCE","5099","Supranational","Completed/Signed","Strategic Alliance",NA,3139572045,"United States","Americas"
"Digital Audio Disk Corp","3652","2017-08-16","","Mnfr compact audio disks","United States","DREAMGEAR LLC/DIGITAL AUDIO DISK CORP-STRATEGIC ALLIANCE","5099","Supranational","Completed/Signed","Strategic Alliance",NA,3139572045,"United States","Americas"
"Incedo Inc","7376","2017-08-22","","Provide information tech svcs","United States","INCEDO INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7375","United States","Completed/Signed","Strategic Alliance",NA,3142012045,"United States","Americas"
"IBM Corp","3571","2017-08-22","","Manufacture computer products","United States","INCEDO INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7375","United States","Completed/Signed","Strategic Alliance",NA,3142012045,"United States","Americas"
"IBM Corp","3571","2017-09-05","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/VOLKSWAGEN AG-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3146643045,"United States","Americas"
"Volkswagen AG","3711","2017-09-05","","Manufactures and wholesales motor vehicles and motor vehicle parts","Germany","INTERNATIONAL BUSINESS/VOLKSWAGEN AG-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3146643045,"Germany","Europe"
"General Electric Co","3612","2017-09-13","","Manufacture,wholesale power generation equipment","United States","GENERAL ELECTRIC CO/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,3149790045,"United States","Americas"
"Hewlett Packard Enterprise Co","3571","2017-09-13","","Manufactures electronic computers","United States","GENERAL ELECTRIC CO/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,3149790045,"United States","Americas"
"Cray Inc","3571","2017-09-25","","Manufactures and wholesales computer systems and supercomputers","United States","CRAY INC/SEAGATE TECHNOLOGY PLC-STRATEGIC ALLIANCE","1731","United States","Completed/Signed","Strategic Alliance",NA,3216812045,"United States","Americas"
"Seagate Technology Plc","3572","2017-09-25","","Mnfr,wholesale disc drives","United States","CRAY INC/SEAGATE TECHNOLOGY PLC-STRATEGIC ALLIANCE","1731","United States","Completed/Signed","Strategic Alliance",NA,3216812045,"United States","Americas"
"Petrosoft Llc","7372","2017-10-18","","Software Reproducing","United States","PETROSOFT LLC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","1382","United States","Completed/Signed","Strategic Alliance",NA,3374690045,"United States","Americas"
"IBM Corp","3571","2017-10-18","","Manufacture computer products","United States","PETROSOFT LLC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","1382","United States","Completed/Signed","Strategic Alliance",NA,3374690045,"United States","Americas"
"Dell Inc","3571","2017-10-24","","Manufactures and wholesales computers","United States","DELL INC/VMWARE INC-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3217361045,"United States","Americas"
"VMware Inc","7372","2017-10-24","","Develops virtualization software","United States","DELL INC/VMWARE INC-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3217361045,"United States","Americas"
